26500 gen's fitness  :  2934.55
26600 gen's fitness  :  2930.2
26700 gen's fitness  :  2933.92
26800 gen's fitness  :  2926.9
26900 gen's fitness  :  2921.04
27000 gen's fitness  :  2916.83
27100 gen's fitness  :  2918.56
27200 gen's fitness  :  2921.04
27300 gen's fitness  :  2918.17
27400 gen's fitness  :  2920.91
27500 gen's fitness  :  2920.84
27600 gen's fitness  :  2919.77
27700 gen's fitness  :  2919.84
27800 gen's fitness  :  2918.16
27900 gen's fitness  :  2914.02
28000 gen's fitness  :  2918.84
28100 gen's fitness  :  2907.61
28200 gen's fitness  :  2907.61
28300 gen's fitness  :  2907.61
28400 gen's fitness  :  2906.12
28500 gen's fitness  :  2899.87
28600 gen's fitness  :  2898.02
28700 gen's fitness  :  2898.58
28800 gen's fitness  :  2893.18
28900 gen's fitness  :  2896.4
29000 gen's fitness  :  2895.61
29100 gen's fitness  :  2894.09
29200 gen's fitness  :  2888.11
29300 gen's fitness  :  2893.74
29400 gen's fitness  :  2894.38
29500 gen's fitness  :  2894.38
29600 gen's fitness  :  2893.6
29700 gen's fitness  :  2894.38
29800 gen's fitness  :  2894.38
29900 gen's fitness  :  2888.07
30000 gen's fitness  :  2894.07
30100 gen's fitness  :  2894.07
30200 gen's fitness  :  2894.07
30300 gen's fitness  :  2893.21
30400 gen's fitness  :  2893.52
30500 gen's fitness  :  2893.04
30600 gen's fitness  :  2892.71
30700 gen's fitness  :  2890.6
30800 gen's fitness  :  2890.6
30900 gen's fitness  :  2890.6
31000 gen's fitness  :  2890.6
31100 gen's fitness  :  2890.6
31200 gen's fitness  :  2886.04
31300 gen's fitness  :  2885.08
31400 gen's fitness  :  2885.08
31500 gen's fitness  :  2885.08
31600 gen's fitness  :  2884.15
31700 gen's fitness  :  2883.01
31800 gen's fitness  :  2883.57
31900 gen's fitness  :  2876.34
32000 gen's fitness  :  2884.15
32100 gen's fitness  :  2884.15
32200 gen's fitness  :  2884.15
32300 gen's fitness  :  2876.07
32400 gen's fitness  :  2873.36
32500 gen's fitness  :  2867.4
32600 gen's fitness  :  2866.57
32700 gen's fitness  :  2864.78
32800 gen's fitness  :  2863.36
32900 gen's fitness  :  2864.78
